"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000024180.15",3.32832226026874,3.79453961538371,255.590469881242,5.28741258873395e-06,0.000595175619767216
"ENSMUSG00000023972.11",2.06657392040915,5.44829856378477,254.80346559187,5.33381383223321e-06,0.000596342010013263
"ENSMUSG00000022562.16",2.70888734606639,4.93962143267846,251.302627096671,5.54699943660138e-06,0.000614863143674544
"ENSMUSG00000032554.16",2.26873132204805,4.99944227373596,250.865619036544,5.57441190391685e-06,0.000614863143674544
"ENSMUSG00000043252.9",-1.99449454545081,7.58906760105462,249.48939507709,5.66193979224921e-06,0.000614863143674544
"ENSMUSG00000001741.13",1.96762763461448,6.46756015112339,249.201253794255,5.68049944808813e-06,0.000614863143674544
"ENSMUSG00000079685.11",-3.18807353042135,4.70542400706661,249.127490087994,5.68526385339973e-06,0.000614863143674544
"ENSMUSG00000041936.19",1.94907189634819,7.61379064129739,248.069194307214,5.75421544521401e-06,0.000614956258350165
"ENSMUSG00000031133.13",3.16785862765927,3.71025123966639,247.974296377942,5.7604532570421e-06,0.000614956258350165
"ENSMUSG00000043099.6",3.14173037903366,3.94520636883894,246.778260133426,5.83985707200976e-06,0.00061650480432807
"ENSMUSG00000032036.16",4.06021251314883,3.58937599978504,246.406350690693,5.86484795527495e-06,0.00061650480432807
"ENSMUSG00000052572.20",7.74820866932252,2.44584377242734,246.082420141926,5.88673228282075e-06,0.00061650480432807
"ENSMUSG00000056947.6",6.37542342273301,2.03804125455597,243.734878377733,6.04866220159148e-06,0.000625649441637664
"ENSMUSG00000028600.16",4.84736926453123,4.99635329925092,243.720515493707,6.04967127950845e-06,0.000625649441637664
"ENSMUSG00000034353.15",-11.8159043524712,2.55197009241921,462.433812742448,6.11682898525246e-06,0.000628665647322811
"ENSMUSG00000056427.11",2.6838660617388,8.37980360484168,239.00843208408,6.39334375502296e-06,0.000650311148928762
"ENSMUSG00000094497.2",-6.24955925303929,1.78152204519974,238.840935529884,6.40603839217914e-06,0.000650311148928762
"ENSMUSG00000037990.19",2.37681141277206,5.39179129985896,237.6244973685,6.49925872277684e-06,0.000655672027900372
"ENSMUSG00000039835.17",-2.0066494481212,6.1666449042401,236.843281271558,6.56009130301186e-06,0.000655672027900372
"ENSMUSG00000020312.13",4.00561370818029,4.88633859875948,236.618694588849,6.57772143781119e-06,0.000655672027900372
"ENSMUSG00000028464.17",2.61411975586755,7.80620843264603,235.458267106829,6.66983900134914e-06,0.000657842961699358
"ENSMUSG00000042747.13",1.97664262845092,5.46491023402872,235.125168017801,6.69660176292679e-06,0.000657842961699358
"ENSMUSG00000000093.7",3.82318657980384,2.75160262036557,234.50374395564,6.74691762045443e-06,0.000657842961699358
"ENSMUSG00000020134.14",-1.96788811885901,5.17299705722442,234.305656764259,6.76306340777119e-06,0.000657842961699358
"ENSMUSG00000042115.5",3.30721994471703,4.4446503763849,233.494158614047,6.82975312124937e-06,0.000657842961699358
"ENSMUSG00000024420.10",8.96008991317473,4.20698797217062,233.323041231678,6.84392862223071e-06,0.000657842961699358
"ENSMUSG00000020032.15",2.60662223220548,6.87347236175163,232.916183013723,6.87779249253575e-06,0.000657842961699358
"ENSMUSG00000021559.15",2.11186636744208,6.44479303312328,231.933586879479,6.96051200139024e-06,0.000660255724205206
"ENSMUSG00000023963.11",-2.10789675665605,5.20557413427866,231.671265280489,6.98282176442322e-06,0.000660255724205206
"ENSMUSG00000028538.13",2.07627349748108,4.62813760491508,230.167350551107,7.11260175757912e-06,0.000668705802742396
"ENSMUSG00000029359.14",-3.38794907827106,2.85187320190642,229.122127062652,7.20471782377445e-06,0.000669217583776627
"ENSMUSG00000042734.7",1.96027670800039,5.47013653103932,228.777399390584,7.23545088172361e-06,0.000669217583776627
"ENSMUSG00000071042.13",-1.90815340324644,6.23229171196795,228.659367388859,7.24601418779071e-06,0.000669217583776627
"ENSMUSG00000022947.9",2.2877957876151,4.2155344650871,228.07998887888,7.29816800845934e-06,0.000669217583776627
"ENSMUSG00000059895.14",2.27078353854127,6.78407927221651,227.390702901102,7.36087570772211e-06,0.000669217583776627
"ENSMUSG00000030407.3",2.29966061130691,4.0853749813519,227.258636942166,7.37297310976533e-06,0.000669217583776627
"ENSMUSG00000041559.8",6.37842124728938,7.44661054688947,226.952168179836,7.40114932199932e-06,0.000669217583776627
"ENSMUSG00000027656.8",5.58492775579038,9.21905421449283,225.497057490354,7.53692639768396e-06,0.000677790875556937
"ENSMUSG00000115009.2",-4.52150673085533,1.86186317952313,223.357837455671,7.74269532769399e-06,0.000692209157441365
"ENSMUSG00000046329.15",-3.04058369683385,4.93817104267249,222.968853987814,7.78092121134308e-06,0.000692209157441365
"ENSMUSG00000038486.10",-4.73401687534956,2.24896994370947,221.760254342893,7.9013251069794e-06,0.000696008670523202
"ENSMUSG00000020057.3",2.01207702635067,4.89974090708834,221.58354980111,7.9191386004072e-06,0.000696008670523202
"ENSMUSG00000034765.7",3.30036284494074,4.04259147941996,221.28046998685,7.94981801709586e-06,0.000696008670523202
"ENSMUSG00000041135.16",2.27881605085976,5.9256793215733,219.659963973984,8.11659907084577e-06,0.000706130375326003
"ENSMUSG00000080316.12",-1.82975503780588,5.44468105927326,218.637219156068,8.22429053629008e-06,0.000706130375326003
"ENSMUSG00000060988.13",5.60219621943982,2.25333742756752,218.558496306922,8.23265931899904e-06,0.000706130375326003
"ENSMUSG00000027500.11",11.404587267231,2.11544565430691,406.022508516421,8.32240658800338e-06,0.000706130375326003
"ENSMUSG00000044783.17",-1.98126951143432,7.66639369249622,217.712623040219,8.32330916397654e-06,0.000706130375326003
"ENSMUSG00000035357.18",1.89991204119451,6.86184469070848,217.406870896988,8.35640632707579e-06,0.000706130375326003
"ENSMUSG00000023915.6",-4.44768414493359,5.27548509440893,217.239015719423,8.37465172918004e-06,0.000706130375326003
"ENSMUSG00000102758.4",5.84391383976344,3.0699742880544,216.944249424421,8.40682201844579e-06,0.000706130375326003
"ENSMUSG00000033910.14",-5.66039356454183,2.80941190897386,215.671871311713,8.54761244876439e-06,0.000714330016109618
"ENSMUSG00000031886.15",2.87785858494991,4.73065122711789,214.728351290965,8.65407067622329e-06,0.000717132567897462
"ENSMUSG00000040659.4",1.86218506827696,5.73092187255164,214.324567888465,8.70017545902587e-06,0.000717132567897462
"ENSMUSG00000030222.14",-2.7029530605975,3.36504600470347,213.149283404275,8.83626797026661e-06,0.000717132567897462
"ENSMUSG00000046743.7",2.71453822618374,7.38633986891448,212.986400317632,8.85535469124884e-06,0.000717132567897462
"ENSMUSG00000041084.9",1.83056068531329,6.03307942250511,212.894619557843,8.86613405863321e-06,0.000717132567897462
"ENSMUSG00000097910.4",3.60052300960868,2.93692221994215,212.848025728237,8.8716131206071e-06,0.000717132567897462
"ENSMUSG00000076441.10",2.79924228239801,5.86702248274716,212.738406541446,8.88452144914363e-06,0.000717132567897462
"ENSMUSG00000051811.15",4.32529308063478,2.97013449583117,212.169459038994,8.95192625679821e-06,0.00071806489807664
"ENSMUSG00000022469.18",1.87103897339603,5.29503175886735,211.415057990344,9.04236811404991e-06,0.00071806489807664
"ENSMUSG00000079429.11",-2.33325359394581,3.78302443675579,211.273525880276,9.05947265780493e-06,0.00071806489807664
"ENSMUSG00000024892.18",2.90047213213499,5.6952571677953,210.617732855872,9.13929808997773e-06,0.00071806489807664
"ENSMUSG00000020256.15",5.03383779913732,4.64757133437778,210.558740386011,9.14652521048619e-06,0.00071806489807664
"ENSMUSG00000026833.19",4.48988923823736,3.78960488181073,210.337497691588,9.17369811011322e-06,0.00071806489807664
"ENSMUSG00000036098.16",-1.81064893512627,8.14473807987256,210.125477645898,9.19984035730027e-06,0.00071806489807664
"ENSMUSG00000032246.15",-4.17284843113053,2.47520747646111,207.58431899517,9.52111934542274e-06,0.000738482040296567
"ENSMUSG00000043903.5",2.96412360281007,5.37843989048843,207.275714751472,9.56115940946859e-06,0.000738482040296567
"ENSMUSG00000038128.8",6.14283633072195,2.8629231560752,206.977122926639,9.60011646364946e-06,0.000738482040296567
"ENSMUSG00000046314.17",-3.01851777683848,3.91415431606316,206.673555656995,9.63994202599012e-06,0.000738482040296567
"ENSMUSG00000030761.17",-2.00308749656011,5.42131161873843,206.071610202317,9.71957259276146e-06,0.00074028611172925
"ENSMUSG00000019960.9",2.03704901414481,4.46999333633955,205.8211342158,9.75296865637134e-06,0.00074028611172925
"ENSMUSG00000028111.5",4.78366020888325,4.29782482783811,205.254950747002,9.82902941406322e-06,0.000742652738422393
"ENSMUSG00000034762.10",4.58373734140477,1.9040256087443,204.418257826632,9.94289921786452e-06,0.000745784245112619
"ENSMUSG00000046711.17",2.05241374304605,5.65258861828193,204.289235541286,9.96061631533745e-06,0.000745784245112619
"ENSMUSG00000059430.15",6.31115116828927,4.43026322719725,202.64551029901,1.01900957872929e-05,0.000759529346812325
"ENSMUSG00000075122.6",2.63264199127922,5.81656576836072,202.200226579088,1.02534849037007e-05,0.000760826971755768
"ENSMUSG00000000530.17",2.5637182914353,3.46775433461185,200.714213748662,1.04689105434806e-05,0.000773344030191844
"ENSMUSG00000033016.17",2.59159079657821,5.19853422769868,200.092298105135,1.05608782366474e-05,0.000773690716156161
"ENSMUSG00000056498.14",2.08646368627765,4.26263406246041,200.050366893357,1.056711801845e-05,0.000773690716156161
"ENSMUSG00000050550.8",-5.30316090949557,1.26889658061571,197.624584327603,1.09367117376944e-05,0.000797223652527002
"ENSMUSG00000029657.16",1.78730505355072,6.64199000415263,196.808342245191,1.10649840084285e-05,0.000801638661697372
"ENSMUSG00000073805.6",4.62012333869931,1.81274630236282,196.62439028774,1.10941713621018e-05,0.000801638661697372
"ENSMUSG00000039518.8",4.08545055138271,6.68481733106,195.839898504276,1.12198156114389e-05,0.00080719256053252
"ENSMUSG00000028893.9",2.67192573952473,6.52019494782527,194.877786425975,1.13765368138071e-05,0.000814924479039244
"ENSMUSG00000046807.11",2.79952106740352,5.3051438426858,194.224428242426,1.14846481993284e-05,0.00081912273169951
"ENSMUSG00000028108.17",3.12324266961294,10.0286925036768,193.546816459828,1.15982389373882e-05,0.000823347204206867
"ENSMUSG00000068396.10",2.38589382487235,6.31248138571679,193.279924195845,1.16433943182696e-05,0.000823347204206867
"ENSMUSG00000039982.9",-3.44686510260568,4.86158137874136,192.248555897876,1.1820132482466e-05,0.000831890828015371
"ENSMUSG00000027995.11",3.76837137577939,3.65153114027967,191.991389333776,1.18647631239275e-05,0.000831890828015371
"ENSMUSG00000085396.9",-1.63524892821465,6.38780629804178,191.395530087894,1.19690484105309e-05,0.000835661789236519
"ENSMUSG00000053965.11",2.22103014494799,7.44402210396939,190.385615384437,1.21486366493801e-05,0.000844636515282741
