"","ENSEMBL","ENTREZID"
"677","ENSMUSG00000032232","68178"
"678","ENSMUSG00000024883","225870"
"679","ENSMUSG00000024065","57440"
"680","ENSMUSG00000028618","56374"
"681","ENSMUSG00000043219","15403"
"682","ENSMUSG00000055172","50909"
"683","ENSMUSG00000031490","13685"
"684","ENSMUSG00000010461","14051"
"685","ENSMUSG00000030790","11535"
"686","ENSMUSG00000021028","217588"
"687","ENSMUSG00000034210","230648"
"688","ENSMUSG00000025503","21351"
"689","ENSMUSG00000073678","241062"
"690","ENSMUSG00000116114","102639573"
"691","ENSMUSG00000037169","18109"
"692","ENSMUSG00000031995","19143"
"694","ENSMUSG00000020431","432530"
"695","ENSMUSG00000031486","78560"
"696","ENSMUSG00000037254","16425"
"697","ENSMUSG00000039058","229949"
"698","ENSMUSG00000021550","70153"
"699","ENSMUSG00000055717","105439"
"700","ENSMUSG00000023039","110310"
"701","ENSMUSG00000038059","106878"
"702","ENSMUSG00000029864","76263"
"703","ENSMUSG00000032254","71819"
"704","ENSMUSG00000020914","21973"
"705","ENSMUSG00000041361","102371"
"706","ENSMUSG00000008200","55935"
"707","ENSMUSG00000031803","72297"
"708","ENSMUSG00000040618","74551"
"709","ENSMUSG00000039831","214137"
"710","ENSMUSG00000031093","75974"
"711","ENSMUSG00000020653","194655"
"713","ENSMUSG00000026749","59126"
"714","ENSMUSG00000019370","12315"
"715","ENSMUSG00000042251","212933"
"716","ENSMUSG00000001657","15426"
"717","ENSMUSG00000021913","239017"
"718","ENSMUSG00000063524","13806"
"719","ENSMUSG00000014602","16560"
"720","ENSMUSG00000003873","12028"
"721","ENSMUSG00000033542","54324"
"722","ENSMUSG00000025477","212111"
"723","ENSMUSG00000015340","13058"
"724","ENSMUSG00000028789","242669"
"725","ENSMUSG00000041729","235431"
"726","ENSMUSG00000011263","74463"
"727","ENSMUSG00000025927","21419"
"728","ENSMUSG00000024885","67689"
"729","ENSMUSG00000021118","27260"
"730","ENSMUSG00000026355","17219"
"731","ENSMUSG00000052135","329934"
"732","ENSMUSG00000032218","12442"
"733","ENSMUSG00000031849","12845"
"734","ENSMUSG00000070000","74015"
"735","ENSMUSG00000033208","20203"
"736","ENSMUSG00000044709","69731"
"737","ENSMUSG00000004709","18106"
"738","ENSMUSG00000040459","234023"
"739","ENSMUSG00000005718","83383"
"740","ENSMUSG00000028700","68273"
"741","ENSMUSG00000028700","76786"
